"","x"
"1","appearedTimeOfDay"
"2","appearedDay"
"3","terrainType"
"4","closeToWater"
"5","weather"
"6","temperature"
"7","windSpeed"
"8","windBearing"
"9","pressure"
"10","sunriseMinutesSince"
"11","sunsetMinutesBefore"
"12","population_density"
"13","urban"
"14","suburban"
"15","midurban"
"16","rural"
"17","gymDistanceKm"
"18","gymIn100m"
"19","gymIn250m"
"20","gymIn500m"
"21","gymIn1000m"
"22","gymIn2500m"
"23","gymIn5000m"
"24","pokestopDistanceKm"
"25","pokestopIn100m"
"26","pokestopIn250m"
"27","pokestopIn500m"
"28","pokestopIn1000m"
"29","pokestopIn2500m"
"30","pokestopIn5000m"
"31","cooc_1"
"32","cooc_2"
"33","cooc_3"
"34","cooc_4"
"35","cooc_5"
"36","cooc_6"
"37","cooc_7"
"38","cooc_8"
"39","cooc_9"
"40","cooc_10"
"41","cooc_11"
"42","cooc_12"
"43","cooc_13"
"44","cooc_14"
"45","cooc_15"
"46","cooc_16"
"47","cooc_17"
"48","cooc_18"
"49","cooc_19"
"50","cooc_20"
"51","cooc_21"
"52","cooc_22"
"53","cooc_23"
"54","cooc_24"
"55","cooc_25"
"56","cooc_26"
"57","cooc_27"
"58","cooc_28"
"59","cooc_29"
"60","cooc_30"
"61","cooc_31"
"62","cooc_32"
"63","cooc_33"
"64","cooc_34"
"65","cooc_35"
"66","cooc_36"
"67","cooc_37"
"68","cooc_38"
"69","cooc_39"
"70","cooc_40"
"71","cooc_41"
"72","cooc_42"
"73","cooc_43"
"74","cooc_44"
"75","cooc_45"
"76","cooc_46"
"77","cooc_47"
"78","cooc_48"
"79","cooc_49"
"80","cooc_50"
"81","cooc_51"
"82","cooc_52"
"83","cooc_53"
"84","cooc_54"
"85","cooc_55"
"86","cooc_56"
"87","cooc_57"
"88","cooc_58"
"89","cooc_59"
"90","cooc_60"
"91","cooc_61"
"92","cooc_62"
"93","cooc_63"
"94","cooc_64"
"95","cooc_65"
"96","cooc_66"
"97","cooc_67"
"98","cooc_68"
"99","cooc_69"
"100","cooc_70"
"101","cooc_71"
"102","cooc_72"
"103","cooc_73"
"104","cooc_74"
"105","cooc_75"
"106","cooc_76"
"107","cooc_77"
"108","cooc_78"
"109","cooc_79"
"110","cooc_80"
"111","cooc_81"
"112","cooc_82"
"113","cooc_83"
"114","cooc_84"
"115","cooc_85"
"116","cooc_86"
"117","cooc_87"
"118","cooc_88"
"119","cooc_89"
"120","cooc_90"
"121","cooc_91"
"122","cooc_92"
"123","cooc_93"
"124","cooc_94"
"125","cooc_95"
"126","cooc_96"
"127","cooc_97"
"128","cooc_98"
"129","cooc_99"
"130","cooc_100"
"131","cooc_101"
"132","cooc_102"
"133","cooc_103"
"134","cooc_104"
"135","cooc_105"
"136","cooc_106"
"137","cooc_107"
"138","cooc_108"
"139","cooc_109"
"140","cooc_110"
"141","cooc_111"
"142","cooc_112"
"143","cooc_113"
"144","cooc_114"
"145","cooc_115"
"146","cooc_116"
"147","cooc_117"
"148","cooc_118"
"149","cooc_119"
"150","cooc_120"
"151","cooc_121"
"152","cooc_122"
"153","cooc_123"
"154","cooc_124"
"155","cooc_125"
"156","cooc_126"
"157","cooc_127"
"158","cooc_128"
"159","cooc_129"
"160","cooc_130"
"161","cooc_131"
"162","cooc_132"
"163","cooc_133"
"164","cooc_134"
"165","cooc_135"
"166","cooc_136"
"167","cooc_137"
"168","cooc_138"
"169","cooc_139"
"170","cooc_140"
"171","cooc_141"
"172","cooc_142"
"173","cooc_143"
"174","cooc_144"
"175","cooc_145"
"176","cooc_146"
"177","cooc_147"
"178","cooc_148"
"179","cooc_149"
"180","cooc_150"
"181","cooc_151"
"182","type1"
